Date of Sale,Address,Location,Boarea,Biarea,Total Area,Number of Rooms,Plot Area,Closing Price
2023-03-23,Kulperödsvägen 17,"VillaVilla Bohuslän, Kungälvs kommun",133.0,119.0,252.0,6,2141,4800000
2023-03-09,Sköldgatan 8,"VillaVilla Stället, Kungälvs kommun",96.0,29.0,125.0,3,451,4225000
2023-03-09,Munkegärdegatan 279,"VillaVilla Kungälv - Munkegärde, Kungälvs kommun",118.0,0.0,118.0,4,342,4700000
2023-03-08,Önneröd 120,"VillaVilla Kärna, Kungälvs kommun",133.0,29.0,162.0,5,3061,3750000
2023-03-03,Kyrkeby 293,"VillaVilla Harestad, Kungälvs kommun",170.0,0.0,170.0,6,1189,5500000
2023-03-02,Harkeröd 305,"VillaVilla Hålta, Kungälvs kommun",110.0,0.0,110.0,4,818,4395000
2023-03-02,Lagvägen 23,"VillaVilla Ytterby, Kungälvs kommun",107.0,7.0,114.0,4,757,2700000
2023-02-27,Tegskiftegatan 84,"VillaVilla Ytterby, Kungälvs kommun",101.0,146.0,247.0,5,1186,5310000
2023-02-21,Signehög 320,"VillaVilla Romelanda, Kungälvs kommun",105.0,57.0,162.0,5,1550,4350000
2023-02-08,Guddehjälm 215,"VillaVilla Ytterby, Kungälvs kommun",182.5,0.0,182.5,8,3639,5330000
2023-02-07,Kärnavägen 4,"VillaVilla Kärna, Kungälvs kommun",110.0,90.0,200.0,7,860,4250000
2023-02-04,Källeröd 166,"VillaVilla Kareby, Kungälvs kommun",127.0,0.0,127.0,6,988,4350000
2023-02-02,Korpedalsvägen 3,"VillaVilla Aröd, Kungälvs kommun",140.0,64.0,204.0,5,993,4000000
2023-01-30,Hällristningsgatan 10,"VillaVilla Kungälv - Ytterby, Kungälvs kommun",103.0,0.0,103.0,4,282,4000000
2023-01-27,Kantorvägen 4,"VillaVilla Diseröd, Kungälvs kommun",134.0,0.0,134.0,5,558,3700000
2023-01-26,Gunneröd 320,"VillaVilla Lycke, Kungälvs kommun",145.0,0.0,145.0,5,1144,3900000
2023-01-19,Prästvägen 340,"VillaVilla Kungälv - Kareby, Kungälvs kommun",158.0,92.0,250.0,7,4235,6100000
2023-01-18,Granndalen 13,"VillaVilla Kärna, Kungälvs kommun",110.0,27.0,137.0,4,1093,3850000
